Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Postcode area,Count of payments,,,,Postcode area,Value of payments,,
,2022,External flooding,Internal flooding,Grand Total,,2022,External flooding,Internal flooding,Grand Total
,CB11,,1,1,,CB11,,275.26,275.26
,CB23,,1,1,,CB23,,208.84,208.84
,CB25,2,,2,,CB25,198.14,,198.14
,CB4,,2,2,,CB4,,768.79,768.79
,CB6,1,3,4,,CB6,337.2,1104.06,1441.26
,CB7,3,1,4,,CB7,223.24,261,484.24
,CB8,1,3,4,,CB8,106.31,763.99,870.3
,CB9,2,,2,,CB9,320.72,,320.72
,CM1,3,3,6,,CM1,428.53,795.1999999999999,1223.73
,CM12,1,,1,,CM12,176.46,,176.46
,CM2,3,2,5,,CM2,231.56,348.72,580.28
,CM3,1,1,2,,CM3,178.04,184.21,362.25
,CM7,5,4,9,,CM7,568.12,1168.31,1736.4299999999998
,CM77,,1,1,,CM77,,148.92,148.92
,CM8,,1,1,,CM8,,275.04,275.04
,CM9,,1,1,,CM9,,234.06,234.06
,CO1,,1,1,,CO1,,270.89,270.89
,CO14,1,,1,,CO14,108.2,,108.2
,CO3,,1,1,,CO3,,216.89,216.89
,CO4,,1,1,,CO4,,402.71,402.71
,CO6,1,2,3,,CO6,168.53,467.78,636.31
,CO7,,1,1,,CO7,,203.8,203.8
,DN15,,1,1,,DN15,,132.67,132.67
,DN20,1,,1,,DN20,90.27,,90.27
,DN21,1,2,3,,DN21,111.85,426.54,538.39
,DN31,,2,2,,DN31,,523.74,523.74
,DN37,1,1,2,,DN37,173.28,158.7,331.98
,DN38,,1,1,,DN38,,187.89,187.89
,IP1,2,1,3,,IP1,312.72,249.98,562.7
,IP10,1,,1,,IP10,161.97,,161.97
,IP11,,2,2,,IP11,,420.54,420.54
,IP12,,3,3,,IP12,,532.45,532.45
,IP13,,4,4,,IP13,,1785.7099999999998,1785.7099999999998
,IP15,1,1,2,,IP15,134.13,111.29,245.42000000000002
,IP16,1,,1,,IP16,93.6,,93.6
,IP2,2,1,3,,IP2,258,150,408
,IP21,1,,1,,IP21,118.65,,118.65
,IP22,,1,1,,IP22,,331.85,331.85
,IP23,,2,2,,IP23,,413.28,413.28
,IP24,,2,2,,IP24,,629.44,629.44
,IP25,2,3,5,,IP25,229.99,770.6200000000001,1000.6100000000001
,IP26,1,1,2,,IP26,75,286.52,361.52
,IP27,,1,1,,IP27,,235.68,235.68
,IP28,4,3,7,,IP28,423.65,1041.62,1465.27
,IP3,3,,3,,IP3,438.65,,438.65
,IP30,,3,3,,IP30,,1384.07,1384.07
,IP31,3,,3,,IP31,337.94,,337.94
,IP33,2,8,10,,IP33,121.39,2019.47,2140.86
,IP4,,2,2,,IP4,,469.5,469.5
,IP6,1,,1,,IP6,177.22,,177.22
,IP7,2,1,3,,IP7,232.29,352.9,585.1899999999999
,IP8,,1,1,,IP8,,220,220
,LE15,1,1,2,,LE15,174.87,212.13,387
,LE16,1,,1,,LE16,184.13,,184.13
,LN1,1,,1,,LN1,108.36,,108.36
,LN11,1,,1,,LN11,155.18,,155.18
,LN2,2,,2,,LN2,206.87,,206.87
,LN3,1,1,2,,LN3,150.07,113.72,263.78999999999996
,LN6,,1,1,,LN6,,192.43,192.43
,LN8,,3,3,,LN8,,658.62,658.62
,LN9,,2,2,,LN9,,194,194
,LU5,2,1,3,,LU5,290.4,199,489.4
,LU6,1,,1,,LU6,107.52,,107.52
,LU7,4,6,10,,LU7,431.3,2260.08,2691.38
,MK10,,1,1,,MK10,,211.36,211.36
,MK13,1,1,2,,MK13,121.84,277.27,399.11
,MK14,,1,1,,MK14,,133.59,133.59
,MK16,1,,1,,MK16,120.81,,120.81
,MK17,,2,2,,MK17,,420.22,420.22
,MK18,,2,2,,MK18,,527.1,527.1
,MK19,1,,1,,MK19,191.02,,191.02
,MK3,1,2,3,,MK3,115.44,401.44,516.88
,MK4,1,,1,,MK4,102,,102
,MK40,,5,5,,MK40,,1606.2400000000002,1606.2400000000002
,MK41,1,2,3,,MK41,172.31,387.53,559.8399999999999
,MK42,,3,3,,MK42,,855.45,855.45
,MK43,3,2,5,,MK43,542.22,499.74,1041.96
,MK44,,1,1,,MK44,,391.45,391.45
,MK45,1,3,4,,MK45,163.09,736.08,899.1700000000001
,MK46,,1,1,,MK46,,302.81,302.81
,MK6,1,3,4,,MK6,86.65,728.9,815.55
,MK9,,1,1,,MK9,,1000,1000
