Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Postcode area,Count of payments,,,,Postcode area,Value of payments,,
,2021,External flooding,Internal flooding,Grand Total,,2021,External flooding,Internal flooding,Grand Total
,C04,1,,1,,C04,113.25,,113.25
,CB1,1,2,3,,CB1,158.5,503.49,661.99
,CB11,2,3,5,,CB11,198.41,731.09,929.5
,CB21,1,,1,,CB21,75,,75
,CB22,1,1,2,,CB22,191.69,345.22,536.9100000000001
,CB23,,1,1,,CB23,,150,150
,CB24,1,9,10,,CB24,142.74,2562.26,2705
,CB25,3,1,4,,CB25,237.17000000000002,275.95,513.12
,CB4,,1,1,,CB4,,196.62,196.62
,CB5,1,,1,,CB5,213.61,,213.61
,CB6,3,4,7,,CB6,601.7,855.04,1456.74
,CB7,,1,1,,CB7,,286.32,286.32
,CB8,,2,2,,CB8,,333.76,333.76
,CB9,1,2,3,,CB9,145.3,362.51,507.81
,CM0,2,2,4,,CM0,386.51,567.9,954.41
,CM1,1,5,6,,CM1,145.41,1631.62,1777.03
,CM11,1,1,2,,CM11,93.54,228.94,322.48
,CM13,,2,2,,CM13,,539.9,539.9
,CM15,1,,1,,CM15,164.24,,164.24
,CM2,1,3,4,,CM2,354.02,699.2,1053.22
,CM3,1,5,6,,CM3,224.72,1398.0400000000002,1622.7600000000002
,CM7,1,1,2,,CM7,75,150,225
,CM8,1,,1,,CM8,160.87,,160.87
,CM9,1,1,2,,CM9,109.58,297,406.58
,CO10,11,4,15,,CO10,1470.5300000000002,1083.4900000000002,2554.0200000000004
,CO12,1,10,11,,CO12,152.72,2456.9500000000003,2609.67
,CO13,1,,1,,CO13,159.26,,159.26
,CO14,1,,1,,CO14,75,,75
,CO15,4,1,5,,CO15,410.14,150,560.14
,CO16,1,2,3,,CO16,150.13,300,450.13
,CO2,2,1,3,,CO2,190.2,88,278.2
,CO3,1,1,2,,CO3,98.53,305.83,404.36
,CO4,3,1,4,,CO4,419.75,275.52,695.27
,CO5,,3,3,,CO5,,773.1399999999999,773.1399999999999
