Date Raised,Town/City,Postcode,Flooding Category,Feedback Responsibility,Feedback Cause
2023-12-23,PAR,PL24 2HA,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-23,EXETER,EX4 2LP,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-23,BRIXHAM,TQ5 9AH,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-23,NEWTON ABBOT,TQ12 1LB,External outside bounday of property,Sewerage,Sewer condition
2023-12-22,BARNSTAPLE,EX32 7BE,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-22,HONITON,EX14 1PT,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-22,NEWTON ABBOT,TQ13 9UF,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-22,TORQUAY,TQ2 5SE,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-22,TORQUAY,TQ2 5QS,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-22,WINKLEIGH,EX19 8SZ,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-22,TRURO,TR1 3WW,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-21,OTTERY ST. MARY,EX11 1XJ,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-21,FOWEY,PL23 1QF,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-21,BODMIN,PL30 3JS,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-21,Launceston,PL15 7FB,External outside bounday of property,Sewerage,Collapse/Burst-Sewerage
2023-12-21,TIVERTON,EX16 7AQ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-21,PLYMOUTH,PL4 8PL,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-21,PLYMOUTH,PL1 5EP,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-21,HAYLE,TR27 5HF,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-21,REDRUTH,TR16 4QE,External outside bounday of property,Sewerage,Blockage - Roots
2023-12-21,TOTNES,TQ9 6PB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-21,DAWLISH,EX7 9HD,Internal Flooding,Private,Blockage Paper/Rag
2023-12-20,NEWQUAY,TR8 4BD,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-20,LISKEARD,PL14 3BJ,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-20,BUDE,EX23 8PR,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-20,TIVERTON,EX16 7AQ,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-20,TORQUAY,TQ2 6QR,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-20,HOLSWORTHY,EX22 7DB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-20,HOLSWORTHY,EX22 7DB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-20,HELSTON,TR13 8JE,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-19,CALLINGTON,PL17 7NT,External inside boundary of property,Sewerage,Blockage - Fat
2023-12-19,LISKEARD,PL14 4LR,External inside boundary of property,Sewerage,Blockage - Silt
2023-12-19,Bodmin,PL30 5HQ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-19,BODMIN,PL30 5HQ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-19,BUDE,EX23 8PG,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-19,BUDE,EX23 8PG,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-19,OKEHAMPTON,EX20 2HU,External outside bounday of property,Sewerage,Collapse/Burst-Sewerage
2023-12-19,TORRINGTON,EX38 8BH,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-19,KINGSBRIDGE,TQ7 4PY,External inside boundary of property,Sewerage,Sewer condition
2023-12-19,EXETER,EX4 8NE,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-19,TOTNES,TQ9 5WG,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-19,DARTMOUTH,TQ6 0PB,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-19,TEIGNMOUTH,TQ14 9BR,External outside bounday of property,Sewerage,Sewer condition
2023-12-18,BODMIN,PL30 4LU,External outside bounday of property,Sewerage,Blockage - Roots
2023-12-18,REDRUTH,TR15 2XG,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-18,PENZANCE,TR18 2AX,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-18,TRURO,TR4 8EX,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-18,KINGSBRIDGE,TQ7 1AN,External outside bounday of property,Sewerage,Partial Collapse-Sewerage
2023-12-18,PAIGNTON,TQ3 3XG,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-17,ST. AUSTELL,PL26 6RX,External inside boundary of property,Sewerage,Blockage - Silt
2023-12-17,BARNSTAPLE,EX31 2JF,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-17,BODMIN,PL31 1BA,Internal Flooding,Sewerage,Sewer condition
2023-12-17,BODMIN,PL31 1BA,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-17,CULLOMPTON,EX15 2ED,External inside boundary of property,Sewerage,Equipment Failure
2023-12-16,BUCKFASTLEIGH,TQ11 0BE,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-16,BIDEFORD,EX39 3EQ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-16,PENZANCE,TR19 6JY,Internal Flooding,Private,Blockage non sewage debris
2023-12-15,PLYMOUTH,PL5 1EX,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-15,NEWQUAY,TR7 1DJ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-15,LOSTWITHIEL,PL22 0PZ,External outside bounday of property,Sewerage,Third Party Damage
2023-12-15,LISKEARD,PL14 4PL,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-15,CULLOMPTON,EX15 2BG,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-15,CULLOMPTON,EX15 1AA,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-15,AXMINSTER,EX13 5HS,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-15,DEVON,EX39 2JD,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-15,FALMOUTH,TR11 4SL,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-15,EXETER,EX4 5DS,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-15,KINGSBRIDGE,TQ7 1DZ,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-15,DARTMOUTH,TQ6 0PB,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-14,CREDITON,EX17 3NJ,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-14,TORQUAY,TQ1 1PN,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-14,Redruth,TR15 3YJ,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-14,CAMBORNE,TR14 8EG,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-14,HOLSWORTHY,EX22 7TG,External outside bounday of property,Sewerage,Partial Collapse-Sewerage
2023-12-14,PLYMOUTH,PL7 1ND,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-14,KINGSBRIDGE,TQ7 1FD,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-14,NEWTON ABBOT,TQ12 1SN,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-13,ST. AUSTELL,PL25 3DS,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-13,PADSTOW,PL28 8RT,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-13,ROCK,PL27 6LS,External outside bounday of property,Sewerage,Blockage - Roots
2023-12-13,CULLOMPTON,EX15 1JA,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-13,CAMBORNE,TR14 8EF,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-13,KINGSBRIDGE,TQ7 4HU,External outside bounday of property,Unknown but not Public,Suspected Hydraulic Overload
2023-12-13,IVYBRIDGE,PL21 0FE,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-13,FALMOUTH,TR11 4SL,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-13,CORNWALL,TR11 3JA,External outside bounday of property,Sewerage,Sewer condition
2023-12-13,EXETER,EX4 3RQ,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-13,EXETER,EX2 7DP,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-13,Kingsbridge,TQ7 1HZ,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-13,NEWTON ABBOT,TQ12 1AJ,External outside bounday of property,Sewerage,Collapse/Burst-Sewerage
2023-12-12,NEWQUAY,TR7 1FL,Internal Flooding,Private,Blockage - Fat
2023-12-12,EXMOUTH,EX8 5DB,External outside bounday of property,Sewerage,Collapse/Burst-Sewerage
2023-12-12,CHULMLEIGH,EX18 7BP,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-12,PLYMOUTH,PL3 4RL,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-12,PAIGNTON,TQ3 2QT,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-12,REDRUTH,TR16 6DP,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-12,TAVISTOCK,PL19 9AJ,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-12,BIDEFORD,EX39 1JG,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-12,OKEHAMPTON,EX20 4EG,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-12,ST IVES,TR26 2BU,Internal Flooding,Private,Blockage Paper/Rag
2023-12-12,EXETER,EX4 3AG,Internal Flooding,Sewerage,Blockage - Fat
2023-12-12,TOTNES,TQ9 6JB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-12,KINGSBRIDGE,TQ7 2EL,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-12,KINGSBRIDGE,TQ7 1ED,Internal Flooding,Private,Hydraulic Overload
2023-12-11,PLYMOUTH,PL5 4LF,External outside bounday of property,Sewerage,Hydraulic Overload
