Date,Part Postcode,Water Type,Compensation Claimed Y/N,Compensation Amount,Incident Type,Cause,Depth of Flood
2020-04-01 00:00:00,BB12 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,BB4 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,CW8 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,L6 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,M23 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,M28 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,M8 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,OL2 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,PR5 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,SK12 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 00:00:00,WA3 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-01 08:50:13,M28,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 10:49:31,L5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 11:43:12,,Sewer,N,0.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 12:22:55,L4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 12:37:22,M18,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 12:50:35,LA1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 12:50:35,LA1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 13:15:22,LA22,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 13:47:49,SK5,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-01 14:07:25,CA28,Sewer,Y,75.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 15:06:17,L14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 15:06:17,L14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 15:47:35,CH66,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
