Date,Part Postcode,Water Type,Compensation Claimed Y/N,Compensation Amount,Incident Type,Cause,Depth of Flood
2020-04-01 16:39:36,BB1,Sewer,Y,120.68,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 17:28:42,WA9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-01 19:34:25,PR7,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-02 00:00:00,BB2 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,FY4 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,L19 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,M33 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,M8 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,OL4 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,PR8 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,WA1 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,WA4 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-02 00:00:00,CH44 1,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-02 00:00:00,L4 4,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-02 08:48:22,FY1,Sewer,Y,226.31,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-02 08:48:22,FY1,Sewer,Y,240.59,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-02 08:54:14,WN4,Sewer,Y,144.45,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-02 11:13:20,M43,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-02 12:33:04,LA15,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-02 13:02:43,BL2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-02 14:46:46,WN8,Sewer,Y,249.96,Internal,UU Responsibility,Major Spill - 50mm +
2020-04-02 15:31:35,WN2,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-02 15:48:27,L9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 00:00:00,FY7 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-03 00:00:00,L17 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-03 00:00:00,CH44 0,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-03 00:00:00,WA12 8,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-03 08:48:24,PR2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 09:33:43,CH42,Sewer,Y,280.83,Internal,UU Responsibility,Major Spill - 50mm +
2020-04-03 09:39:38,M32,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 10:06:52,CW8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 10:43:46,WA4,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-03 13:29:07,BL9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 14:30:14,BL5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 16:19:45,FY6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 16:35:49,WN7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 17:09:33,M23,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 17:30:30,WN7,Sewer,Y,122.54,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 17:53:48,L21,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 18:28:35,PR8,Sewer,Y,292.66,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-03 19:09:56,WN6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 19:30:00,L4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 23:14:32,L12,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-03 23:14:32,L12,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 00:00:00,L9 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-04 00:00:00,M30 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-04 00:00:00,M33 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-04 00:00:00,OL12 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-04 00:00:00,SK23 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-04 00:00:00,WA7 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-04 09:43:56,M44,Sewer,Y,245.09,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-04 11:31:24,M9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 11:31:24,M9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 11:31:24,M9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 12:46:07,L9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 14:34:12,FY1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 14:57:00,M33,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 15:58:37,WA2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 16:41:02,SK5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-04 17:29:15,BL3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-05 00:00:00,BL3 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-05 00:00:00,PR6 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-05 00:00:00,PR9 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-05 00:00:00,WN2 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-05 10:34:14,PR26,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-05 12:56:52,M9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-05 13:37:33,FY6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-05 15:24:39,M32,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-05 16:40:45,WN6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-05 17:42:49,PR25,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 00:00:00,BB5 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,L30 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,L4 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,L7 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,M11 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,M9 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,PR2 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,SK6 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,WN2 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,WN3 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-06 00:00:00,OL16 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-06 09:43:59,ST7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 10:59:18,LA3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 11:03:15,LA1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 11:15:18,BB11,Sewer,Y,75.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 11:44:37,WA11,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 12:00:57,PR1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 13:16:46,BL5,Sewer,Y,218.8,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 13:53:48,WA4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 14:42:38,WN5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 14:53:26,WN1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 15:47:54,L4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 16:13:29,FY7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 16:26:36,FY2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-06 18:49:58,M13,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 00:00:00,BB9 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,CH63 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,M26 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,M29 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,OL2 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,OL4 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,PR1 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,SK9 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,WA9 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,WN2 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-07 00:00:00,BL6 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-07 08:21:25,OL7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 08:41:15,OL8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 09:29:51,M12,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 09:57:39,LA1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 11:12:33,CH45,Sewer,Y,186.37,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 11:18:32,CA13,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 11:39:43,L36,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 11:42:17,ST7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 12:24:56,SK14,Sewer,Y,150.0,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-07 14:57:14,L36,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 15:23:48,BL6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 15:23:48,BL6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 16:30:59,BL9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 16:41:51,WN7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 16:45:07,SK8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 16:53:06,FY4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 17:46:02,WN4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-07 17:46:02,WN4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 00:00:00,BB1 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,BB2 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,BL0 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,BL3 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,BL3 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,CW1 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,FY2 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,M5 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,OL4 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,OL8 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,PR4 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,SK10 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,WN7 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-08 00:00:00,CA20 1,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-08 00:00:00,L16 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-08 00:00:00,SK4 1,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-08 08:59:33,CA8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 09:18:59,M19,Sewer,Y,316.57,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 09:18:59,M19,Sewer,Y,321.68,Internal,UU Responsibility,
2020-04-08 09:20:50,M7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 09:31:19,PR6,Sewer,Y,178.71,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 11:11:24,WA1,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-08 12:31:21,SK7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 13:48:02,PR1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 14:10:05,OL7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 14:30:25,SK23,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 14:42:19,OL10,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 14:42:19,OL10,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 18:26:32,OL6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-08 19:49:43,OL16,Sewer,N,0.0,External,UU Responsibility,
2020-04-08 21:27:47,WN3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 00:00:00,BL8 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,CA14 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,FY1 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,LA3 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,OL12 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,OL16 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,OL9 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 00:00:00,WN1 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-09 08:57:31,LA18,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 08:57:31,LA18,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 09:11:34,WA7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 09:44:20,L14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 09:52:11,L34,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 09:52:11,L34,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-09 09:52:11,L34,Sewer,Y,147.22,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 10:41:12,BB5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 11:03:10,BL4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 11:09:40,WA6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 13:07:06,M14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 13:17:31,M41,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 16:37:43,BL9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 16:42:50,L8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 17:02:07,SK1,Sewer,Y,75.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 17:05:02,LA12,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 18:55:13,BB5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-09 18:55:13,BB5,Sewer,Y,170.2,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 00:00:00,CW2 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 00:00:00,FY7 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 00:00:00,L4 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 00:00:00,M8 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 00:00:00,M9 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 00:00:00,SK16 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 00:00:00,SK6 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-10 07:27:23,CA2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 11:05:41,PR1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 11:12:31,BB12,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-10 11:20:42,L31,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 14:24:28,WA15,Sewer,Y,172.47,Internal,UU Responsibility,Major Spill - 50mm +
2020-04-10 15:15:46,WA9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 15:15:46,WA9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 16:33:09,M29,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 16:38:33,CH66,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 17:10:46,CA1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 17:43:39,M14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 19:05:50,LA3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-10 19:58:18,BB5,Sewer,Y,485.77,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 00:00:00,BB2 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,BL1 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,CA12 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,PR5 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,PR6 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,SK11 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,SK2 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,WN7 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,WN8 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-11 00:00:00,OL4 2,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-11 00:00:00,OL9 9,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-04-11 09:09:45,SK11,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 09:35:48,L37,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 11:02:31,L25,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 11:02:31,L25,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 11:49:21,SK2,Sewer,Y,265.12,Internal,UU Responsibility,
2020-04-11 12:06:28,WA15,Sewer,Y,151.97,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 13:33:54,M46,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 13:47:06,L36,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-11 13:47:06,L36,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 13:47:06,L36,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 13:47:06,L36,Sewer,Y,114.24,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 14:19:50,L20,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 14:23:37,LA5,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-11 14:49:05,CA14,Sewer,Y,271.38,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 14:59:41,ST7,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-11 14:59:41,ST7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 15:06:12,WA8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 15:14:54,M22,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 15:33:33,WN2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-11 17:08:59,L32,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-11 18:23:14,M30,Sewer,Y,323.38,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-04-12 00:00:00,L13 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-12 00:00:00,M25 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-04-12 10:25:12,BB1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 10:42:28,M28,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 10:50:48,PR8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 12:58:14,OL7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 17:09:21,LA13,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 17:24:01,SK23,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 18:04:08,M35,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 18:09:38,SK11,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 18:09:38,SK11,Sewer,Y,132.56,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 19:15:50,M40,Sewer,Y,250.19,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-04-12 19:15:50,M40,Sewer,Y,262.11,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
