2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2022,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2023,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2021,External,Internal,Total,,,2022,External,Internal,Total,,,2023,External,Internal,Total,,,"*FOC encompasses blockages, collapses and failures of equipment on the sewerage network. "
NE8,78,,,,,NE9,134,,,,,NE27,38,,,,,
NE9,144,,,,,SR1,19,,,,,NE46,37,,,,,
SR1,19,,,,,SR2,115,,,,,TS15,37,,,,,
SR2,115,,,,,SR3,142,,,,,NE30,36,,,,,
SR3,101,,,,,SR4,128,,,,,TS27,36,,,,,
SR4,168,,,,,SR5,130,,,,,TS11,36,,,,,
SR5,140,,,,,SR6,65,,,,,NE39,36,,,,,
SR6,85,,,,,SR7,97,,,,,DL4,34,,,,,
SR7,99,,,,,SR8,153,,,,,NE35,34,,,,,
SR8,170,,,,,TD15,48,,,,,TS29,34,,,,,
TD15,91,,,,,TS1,77,,,,,TS22,33,,,,,
TS1,71,,,,,TS10,145,,,,,NE1,32,,,,,
TS10,153,,,,,TS11,42,,,,,NE7,32,,,,,
TS11,42,,,,,TS12,98,,,,,NE62,31,,,,,
TS12,82,,,,,TS13,38,,,,,NE2,31,,,,,
TS13,53,,,,,TS14,68,,,,,NE43,31,,,,,
TS14,77,,,,,TS15,50,,,,,NE17,27,,,,,
TS15,73,,,,,TS16,18,,,,,TS16,22,,,,,
TS16,27,,,,,TS17,147,,,,,NE36,21,,,,,
TS17,148,,,,,TS18,100,,,,,TS28,19,,,,,
TS18,121,,,,,TS19,138,,,,,NE64,19,,,,,
TS19,158,,,,,TS2,17,,,,,NE49,18,,,,,
TS2,10,,,,,TS20,93,,,,,NE47,16,,,,,
TS20,81,,,,,TS21,38,,,,,NE45,16,,,,,
TS21,31,,,,,TS22,24,,,,,NE71,15,,,,,
TS22,24,,,,,TS23,111,,,,,NE48,12,,,,,
TS23,89,,,,,TS24,104,,,,,SR1,11,,,,,
TS24,115,,,,,TS25,168,,,,,NE68,10,,,,,
TS25,143,,,,,TS26,55,,,,,NE41,8,,,,,
TS26,89,,,,,TS27,38,,,,,NE44,8,,,,,
TS27,30,,,,,TS28,15,,,,,DL10,7,,,,,
TS28,22,,,,,TS29,19,,,,,DL11,7,,,,,
TS29,39,,,,,TS3,138,,,,,NE19,6,,,,,
TS3,132,,,,,TS4,76,,,,,NE70,5,,,,,
TS4,85,,,,,TS5,156,,,,,NE67,5,,,,,
TS5,146,,,,,TS6,148,,,,,CA9,5,,,,,
TS6,172,,,,,TS7,111,,,,,CA8,3,,,,,
TS7,125,,,,,TS8,78,,,,,NE18,3,,,,,
TS8,78,,,,,TS9,47,,,,,TD12,3,,,,,
TS9,55,,,,,YO21,1,,,,,NE69,1,,,,,
YO21,3,,,,,,,,,,,DL6,1,,,,,
