Postcode,Raised Date,Flooding Cause,Location Of Flooding
PL7 2,2021-01-01,Partial Collapse,Garden/Yard
PL26 8,2021-01-02,Blockage - Paper rag,Driveway
TR7 1,2021-01-02,Collapse/Burst,Garden/Yard
EX2 5,2021-01-02,Blockage - Paper rag,Garden/Yard
PL2 2,2021-01-03,Blockage - Silt,Garden/Yard
TQ12 3,2021-01-04,Blockage - Non sewage debris,Garden/Yard
TR8 4,2021-01-04,Blockage - Paper rag,Garden/Yard
EX16 9,2021-01-04,Blockage - Roots,Garden/Yard
PL23 1,2021-01-04,Blockage - Paper rag,Garden/Yard
PL2 2,2021-01-04,Blockage - Fat,Garden/Yard
TQ2 7,2021-01-04,Blockage - Paper rag,Driveway
TR4 9,2021-01-04,Blockage - Roots,Garden/Yard
PL2 2,2021-01-04,Blockage - Fat,Garden/Yard
TQ2 8,2021-01-05,Partial Collapse,Garden/Yard
TR16 4,2021-01-05,Blockage - Paper rag,Driveway
EX2 9,2021-01-05,Blockage - Paper rag,Garden/Yard
EX6 7,2021-01-05,Blockage - Paper rag,Garden/Yard
EX39 1,2021-01-05,Blockage - Paper rag,Garden/Yard
EX39 1,2021-01-05,Blockage - Paper rag,Driveway
EX39 1,2021-01-05,Blockage - Paper rag,Garden/Yard
EX31 2,2021-01-06,Blockage - Paper rag,Garden/Yard
PL26 8,2021-01-06,Blockage - Paper rag,Garden/Yard
TR14 0,2021-01-06,Blockage - Paper rag,Garden/Yard
TQ2 8,2021-01-06,Partial Collapse,Garden/Yard
PL3 6,2021-01-07,Blockage - Roots,Garden/Yard
TQ14 9,2021-01-07,Hydraulic Overload,Driveway
PL17 8,2021-01-07,Blockage - Paper rag,Driveway
PL2 2,2021-01-08,Blockage - Paper rag,Garden/Yard
TQ9 6,2021-01-08,Blockage - Paper rag,Garden/Yard
TR7 1,2021-01-08,Collapse/Burst,Garden/Yard
TQ14 9,2021-01-08,Blockage - Paper rag,Garden/Yard
TR12 6,2021-01-08,Blockage - Paper rag,Garden/Yard
PL14 5,2021-01-09,Hydraulic Overload,Garden/Yard
TR14 7,2021-01-09,Blockage - Paper rag,Garden/Yard
PL3 6,2021-01-09,Blockage - Paper rag,Garden/Yard
TR17 0,2021-01-09,Blockage - Paper rag,Garden/Yard
PL5 2,2021-01-10,Blockage - Paper rag,Garden/Yard
TQ7 2,2021-01-10,Blockage - Non sewage debris,Garden/Yard
TQ14 9,2021-01-10,Partial Collapse,Garden/Yard
PL27 7,2021-01-10,Pump Station Breakdown,Garden/Yard
EX7 0,2021-01-12,Blockage - Roots,Garden/Yard
TQ5 8,2021-01-12,Blockage - Paper rag,Garden/Yard
TQ12 5,2021-01-13,Partial Collapse,Driveway
PL26 8,2021-01-13,Blockage - Paper rag,Driveway
PL26 8,2021-01-14,Blockage - Paper rag,Garden/Yard
PL12 5,2021-01-14,Blockage - Paper rag,Garden/Yard
TQ5 9,2021-01-14,Blockage - Paper rag,Garden/Yard
EX36 3,2021-01-14,Blockage - Paper rag,Garden/Yard
DT7 3,2021-01-14,Blockage - Paper rag,Garden/Yard
PL20 7,2021-01-15,Blockage - Paper rag,Garden/Yard
PL31 1,2021-01-15,Partial Collapse,Garden/Yard
PL2 1,2021-01-16,Blockage - Fat,Garden/Yard
TQ12 5,2021-01-16,Blockage - Paper rag,Garden/Yard
PL25 5,2021-01-16,Partial Collapse,Garden/Yard
PL2 1,2021-01-16,Blockage - Fat,Garden/Yard
PL2 1,2021-01-16,Blockage - Fat,Garden/Yard
EX10 0,2021-01-17,Blockage - Paper rag,Garden/Yard
PL25 3,2021-01-17,Blockage - Paper rag,Garden/Yard
TR14 7,2021-01-18,Blockage - Paper rag,Garden/Yard
TQ4 7,2021-01-18,Blockage - Paper rag,Garden/Yard
PL5 1,2021-01-18,Blockage - Paper rag,Driveway
TR3 7,2021-01-19,Blockage - Paper rag,Garden/Yard
PL2 1,2021-01-19,Blockage - Fat,Detached Garage/Store (& garages without internal connecting door to property)
PL26 7,2021-01-19,Blockage - Paper rag,Driveway
TQ7 1,2021-01-19,Blockage - Roots,Garden/Yard
TR10 8,2021-01-19,Blockage - Paper rag,Garden/Yard
EX4 8,2021-01-19,Partial Collapse,Driveway
TQ9 5,2021-01-19,Blockage - Non sewage debris,Garden/Yard
TR4 8,2021-01-19,Collapse/Burst,Garden/Yard
TQ5 0,2021-01-19,Blockage - Non sewage debris,Garden/Yard
PL14 6,2021-01-19,Blockage - Paper rag,Garden/Yard
PL2 1,2021-01-19,Blockage - Fat,Detached Garage/Store (& garages without internal connecting door to property)
PL26 8,2021-01-20,Partial Collapse,Driveway
TQ3 2,2021-01-20,Blockage - Non sewage debris,Garden/Yard
PL32 9,2021-01-20,Blockage - Silt,Garden/Yard
TQ3 3,2021-01-20,Blockage - Paper rag,Garden/Yard
EX4 6,2021-01-20,Blockage - Roots,Garden/Yard
TR27 5,2021-01-21,Blockage - Paper rag,Garden/Yard
TQ12 4,2021-01-21,Blockage - Paper rag,Garden/Yard
PL25 5,2021-01-21,Blockage - Paper rag,Driveway
TR16 4,2021-01-21,Blockage - Paper rag,Garden/Yard
TR26 2,2021-01-21,Blockage - Fat,Garden/Yard
EX39 1,2021-01-21,Blockage - Paper rag,Garden/Yard
PL22 0,2021-01-21,Blockage - Non sewage debris,Garden/Yard
TQ9 5,2021-01-21,Blockage - Fat,Garden/Yard
EX39 1,2021-01-21,Blockage - Paper rag,Garden/Yard
EX10 8,2021-01-22,Partial Collapse,Driveway
PL3 4,2021-01-22,Blockage - Fat,Garden/Yard
PL3 6,2021-01-22,Blockage - Paper rag,Garden/Yard
TQ6 0,2021-01-22,Blockage - Roots,Driveway
TQ6 9,2021-01-22,Blockage - Fat,Garden/Yard
EX4 6,2021-01-23,Blockage - Non sewage debris,Garden/Yard
TQ5 8,2021-01-23,Blockage - Roots,Driveway
TQ2 7,2021-01-24,Blockage - Paper rag,Garden/Yard
EX31 3,2021-01-24,Blockage - Paper rag,Garden/Yard
TQ9 6,2021-01-24,Blockage - Paper rag,Garden/Yard
PL5 4,2021-01-25,Partial Collapse,Garden/Yard
TQ10 9,2021-01-25,Partial Collapse,Garden/Yard
TR9 6,2021-01-25,Blockage - Fat,Driveway
PL10 1,2021-01-25,Blockage - Paper rag,Garden/Yard
PL26 7,2021-01-25,Partial Collapse,Garden/Yard
TQ8 8,2021-01-25,Blockage - Non sewage debris,Garden/Yard
PL14 5,2021-01-25,Partial Collapse,Garden/Yard
PL27 6,2021-01-26,Blockage - Roots,Garden/Yard
TR4 8,2021-01-26,Partial Collapse,Garden/Yard
TQ12 4,2021-01-27,Blockage - Fat,Garden/Yard
PL13 1,2021-01-27,Blockage - Paper rag,Garden/Yard
PL14 5,2021-01-27,Blockage - Non sewage debris,Garden/Yard
EX39 2,2021-01-28,Blockage - Paper rag,Garden/Yard
EX23 0,2021-01-28,Blockage - Silt,Garden/Yard
PL24 2,2021-01-28,Blockage - Paper rag,Garden/Yard
PL31 2,2021-01-28,Blockage - Paper rag,Garden/Yard
EX23 0,2021-01-28,Blockage - Silt,Garden/Yard
PL24 2,2021-01-28,Blockage - Paper rag,Garden/Yard
EX31 2,2021-01-29,Hydraulic Overload,Garden/Yard
EX16 5,2021-01-29,Blockage - Paper rag,Garden/Yard
EX33 1,2021-01-29,Blockage - Non sewage debris,Garden/Yard
EX31 4,2021-01-29,Blockage - Paper rag,Garden/Yard
TQ9 5,2021-01-29,Blockage - Fat,Garden/Yard
TQ7  3,2021-01-29,Blockage - Roots,Garden/Yard
TR14 7,2021-01-29,Partial Collapse,Garden/Yard
TR3 6,2021-01-29,Hydraulic Overload,Garden/Yard
TQ10 9,2021-01-30,Hydraulic Overload,Driveway
EX10 8,2021-01-30,Blockage - Paper rag,Driveway
PL7 2,2021-01-30,Blockage - Paper rag,Garden/Yard
EX16 6,2021-01-30,Blockage - Paper rag,Garden/Yard
PL1 5,2021-01-30,Blockage - Fat,Garden/Yard
TR8 4,2021-01-30,Blockage - Roots,Garden/Yard
TR15 1,2021-01-31,Blockage - Silt,Driveway
TR3 7,2021-01-31,Hydraulic Overload,Garden/Yard
TR27 5,2021-01-31,Hydraulic Overload,Garden/Yard
TQ12 1,2021-01-31,Collapse/Burst,Garden/Yard
PL26 6,2021-01-31,Hydraulic Overload,Garden/Yard
TR27 4,2021-01-31,Hydraulic Overload,Garden/Yard
TQ7 2,2021-02-01,Hydraulically Overloaded Pump Station,Garden/Yard
PL14 6,2021-02-01,Blockage - Paper rag,Garden/Yard
PL26 8,2021-02-01,Blockage - Paper rag,Garden/Yard
PL23 1,2021-02-01,Partial Collapse,Garden/Yard
TR10 8,2021-02-01,Hydraulically Overloaded Pump Station,Private Carpark
PL20 6,2021-02-01,Blockage - Paper rag,Garden/Yard
TQ3 2,2021-02-01,Partial Collapse,Driveway
PL25 5,2021-02-01,Hydraulic Overload,Garden/Yard
TQ1 3,2021-02-02,Blockage - Non sewage debris,Garden/Yard
TQ7 3,2021-02-02,Hydraulic Overload,Garden/Yard
TR11 5,2021-02-03,Blockage - Paper rag,Garden/Yard
EX7 0,2021-02-03,Blockage - Fat,Driveway
TR18 3,2021-02-03,Hydraulic Overload,Garden/Yard
PL25 5,2021-02-03,Hydraulic Overload,Garden/Yard
PL25 3,2021-02-03,Blockage - Paper rag,Driveway
EX1 3,2021-02-03,Blockage - Paper rag,Garden/Yard
TQ12 5,2021-02-04,Blockage - Paper rag,Garden/Yard
PL26 7,2021-02-04,Hydraulic Overload,Driveway
PL25 5,2021-02-04,Blockage - Paper rag,Garden/Yard
PL25 5,2021-02-04,Blockage - Paper rag,Garden/Yard
EX16 7,2021-02-05,Blockage - Non sewage debris,Garden/Yard
TA20 4,2021-02-05,Partial Collapse,Driveway
TR18 2,2021-02-05,Blockage - Non sewage debris,Garden/Yard
EX31 4,2021-02-06,Equipment Failure,Garden/Yard
PL30 3,2021-02-07,Blockage - Paper rag,Garden/Yard
TR16 5,2021-02-07,Blockage - Paper rag,Garden/Yard
PL6 6,2021-02-07,Blockage - Paper rag,Garden/Yard
TQ14 0,2021-02-07,Blockage - Roots,Driveway
PL7 2,2021-02-08,Blockage - Paper rag,Garden/Yard
TQ7 4,2021-02-08,Blockage - Paper rag,Garden/Yard
PL15 7,2021-02-08,Blockage - Roots,Driveway
PL14 6,2021-02-09,Partial Collapse,Garden/Yard
TR1 1,2021-02-09,Blockage - Fat,Driveway
PL26 7,2021-02-09,Blockage - Paper rag,Garden/Yard
TR13 8,2021-02-10,Partial Collapse,Garden/Yard
TQ2 7,2021-02-10,Blockage - Paper rag,Garden/Yard
TR3 6,2021-02-10,Blockage - Paper rag,Garden/Yard
TR9 6,2021-02-10,Blockage - Paper rag,Garden/Yard
EX17 3,2021-02-10,Blockage - Paper rag,Garden/Yard
EX17 3,2021-02-10,Blockage - Paper rag,Garden/Yard
EX17 3,2021-02-10,Blockage - Paper rag,Garden/Yard
PL12 4,2021-02-11,Blockage - Paper rag,Driveway
TR3 6,2021-02-11,Partial Collapse,Garden/Yard
PL30 4,2021-02-11,Blockage - Paper rag,Driveway
PL6 8,2021-02-11,Blockage - Paper rag,Garden/Yard
EX32 8,2021-02-11,Blockage - Paper rag,Garden/Yard
EX13 5,2021-02-12,Partial Collapse,Private Carpark
TQ1 1,2021-02-12,Blockage - Paper rag,Garden/Yard
EX17 6,2021-02-13,Blockage - Non sewage debris,Driveway
PL14 6,2021-02-14,Blockage - Paper rag,Garden/Yard
PL26 7,2021-02-14,Blockage - Paper rag,Driveway
TR2 4,2021-02-14,Blockage - Non sewage debris,Garden/Yard
TR3 7,2021-02-14,Hydraulic Overload,Garden/Yard
TR11 5,2021-02-15,Blockage - Paper rag,Garden/Yard
PL13 1,2021-02-15,Blockage - Paper rag,Garden/Yard
PL6 5,2021-02-15,Blockage - Paper rag,Garden/Yard
EX4 3,2021-02-15,Blockage - Paper rag,Driveway
PL31 1,2021-02-15,Blockage - Paper rag,Garden/Yard
PL19 0,2021-02-15,Blockage - Paper rag,Garden/Yard
EX39 4,2021-02-16,Blockage - Paper rag,Garden/Yard
PL26 8,2021-02-16,Partial Collapse,Garden/Yard
PL11 2,2021-02-16,Blockage - Paper rag,Garden/Yard
TQ14 8,2021-02-16,Blockage - Non sewage debris,Private Carpark
PL26 8,2021-02-16,Blockage - Paper rag,Driveway
EX39 4,2021-02-16,Blockage - Paper rag,Driveway
EX4 6,2021-02-17,Partial Collapse,Garden/Yard
EX34 9,2021-02-17,Blockage - Paper rag,Garden/Yard
PL23 1,2021-02-17,Blockage - Paper rag,Garden/Yard
EX32 7,2021-02-17,Blockage - Paper rag,Garden/Yard
EX6 8,2021-02-18,Blockage - Paper rag,Driveway
PL6 8,2021-02-18,Sewer Condition,Garden/Yard
PL12 4,2021-02-18,Blockage - Paper rag,Garden/Yard
DT7 3,2021-02-18,Blockage - Paper rag,Driveway
TR10 8,2021-02-18,Blockage - Non sewage debris,Garden/Yard
PL9 7,2021-02-18,Blockage - Paper rag,Garden/Yard
PL14 4,2021-02-19,Blockage - Paper rag,Garden/Yard
PL9 7,2021-02-19,Blockage - Non sewage debris,Garden/Yard
PL24 2,2021-02-19,Blockage - Paper rag,Garden/Yard
EX23 0,2021-02-19,Blockage - Roots,Garden/Yard
EX2 8,2021-02-19,Blockage - Roots,Private Carpark
EX20 4,2021-02-19,Blockage - Paper rag,Garden/Yard
EX2 8,2021-02-19,Blockage - Roots,Private Carpark
EX38 8,2021-02-20,Blockage - Paper rag,Garden/Yard
PL17 7,2021-02-20,Blockage - Paper rag,Garden/Yard
TR13 8,2021-02-20,Blockage - Paper rag,Garden/Yard
TR15 2,2021-02-20,Blockage - Paper rag,Garden/Yard
PL15 7,2021-02-21,Hydraulic Overload,Garden/Yard
PL32 9,2021-02-21,Hydraulic Overload,Garden/Yard
PL15 7,2021-02-21,Blockage - Paper rag,Garden/Yard
TR15 1,2021-02-21,Blockage - Non sewage debris,Garden/Yard
PL5 2,2021-02-21,Hydraulic Overload,Garden/Yard
TR14 0,2021-02-21,Blockage - Paper rag,Garden/Yard
TQ3 3,2021-02-22,Blockage - Paper rag,Garden/Yard
TR11 5,2021-02-22,Blockage - Paper rag,Garden/Yard
TR15 2,2021-02-22,Blockage - Non sewage debris,Garden/Yard
TR18 2,2021-02-23,Blockage - Paper rag,Garden/Yard
EX16 5,2021-02-23,Blockage - Paper rag,Garden/Yard
EX36 3,2021-02-23,Blockage - Paper rag,Garden/Yard
PL24 2,2021-02-24,Blockage - Non sewage debris,Garden/Yard
TQ8 8,2021-02-24,Blockage - Paper rag,Garden/Yard
TQ12 1,2021-02-24,Blockage - Paper rag,Garden/Yard
TR15 1,2021-02-25,Blockage - Paper rag,Garden/Yard
PL14 3,2021-02-25,Blockage - Paper rag,Garden/Yard
EX8 4,2021-02-26,Blockage - Paper rag,Garden/Yard
EX4 8,2021-02-27,Blockage - Paper rag,Driveway
EX38 7,2021-02-27,Blockage - Paper rag,Garden/Yard
PL2 1,2021-02-27,Blockage - Paper rag,Garden/Yard
TR14 7,2021-02-28,Blockage - Paper rag,Garden/Yard
TR2 4,2021-02-28,Blockage - Paper rag,Garden/Yard
TQ14 9,2021-02-28,Partial Collapse,Driveway
PL26 8,2021-02-28,Blockage - Paper rag,Garden/Yard
PL29 3,2021-02-28,Blockage - Paper rag,Garden/Yard
TQ14 8,2021-03-01,Blockage - Paper rag,Driveway
PL25 3,2021-03-01,Blockage - Roots,Garden/Yard
PL25 3,2021-03-01,Blockage - Roots,Garden/Yard
TQ1 3,2021-03-01,Partial Collapse,Driveway
EX8 5,2021-03-02,Blockage - Paper rag,Garden/Yard
PL6 7,2021-03-02,Blockage - Non sewage debris,Garden/Yard
PL6 7,2021-03-02,Blockage - Non sewage debris,Garden/Yard
PL15 9,2021-03-03,Blockage - Paper rag,Garden/Yard
TR13 8,2021-03-03,Blockage - Non sewage debris,Garden/Yard
EX4 1,2021-03-03,Blockage - Non sewage debris,Garden/Yard
PL25 3,2021-03-03,Blockage - Roots,Garden/Yard
EX10 8,2021-03-03,Blockage - Roots,Driveway
PL21 9,2021-03-03,Blockage - Paper rag,Garden/Yard
PL7 1,2021-03-03,Blockage - Paper rag,Garden/Yard
PL14 3,2021-03-03,Blockage - Roots,Garden/Yard
PL7 1,2021-03-03,Blockage - Paper rag,Garden/Yard
DT8 3,2021-03-04,Blockage - Roots,Garden/Yard
EX39 2,2021-03-04,Blockage - Fat,Driveway
TQ2 7,2021-03-04,Blockage - Silt,Garden/Yard
PL13 2,2021-03-04,Blockage - Fat,Driveway
PL14 6,2021-03-05,Blockage - Paper rag,Garden/Yard
PL7 4,2021-03-06,Blockage - Paper rag,Driveway
TR14 0,2021-03-06,Blockage - Paper rag,Garden/Yard
EX34 8,2021-03-06,Blockage - Paper rag,Garden/Yard
PL15 7,2021-03-06,Blockage - Paper rag,Garden/Yard
TR10 8,2021-03-06,Blockage - Paper rag,Garden/Yard
TR1 1,2021-03-07,Blockage - Paper rag,Driveway
PL19 8,2021-03-07,Blockage - Paper rag,Garden/Yard
PL12 4,2021-03-07,Blockage - Paper rag,Garden/Yard
PL26 7,2021-03-07,Blockage - Fat,Garden/Yard
EX7 0,2021-03-08,Blockage - Non sewage debris,Garden/Yard
PL6 8,2021-03-08,Blockage - Non sewage debris,Garden/Yard
TQ6 9,2021-03-08,Blockage - Paper rag,Garden/Yard
EX8 5,2021-03-08,Blockage - Paper rag,Garden/Yard
PL9 8,2021-03-08,Blockage - Paper rag,Garden/Yard
TQ7 2,2021-03-08,Blockage - Fat,Garden/Yard
EX1 3,2021-03-08,Blockage - Roots,Garden/Yard
TQ2 6,2021-03-09,Blockage - Non sewage debris,Detached Garage/Store (& garages without internal connecting door to property)
PL9 0,2021-03-10,Blockage - Roots,Garden/Yard
TR7 3,2021-03-10,Blockage - Paper rag,Garden/Yard
TR3 7,2021-03-10,Blockage - Paper rag,Garden/Yard
PL15 7,2021-03-10,Blockage - Roots,Garden/Yard
PL5 4,2021-03-10,Blockage - Paper rag,Garden/Yard
PL31 1,2021-03-11,Blockage - Paper rag,Garden/Yard
TQ4 5,2021-03-11,Blockage - Roots,Private Carpark
PL14 3,2021-03-11,Blockage - Non sewage debris,Garden/Yard
EX23 0,2021-03-11,Blockage - Roots,Garden/Yard
TQ2 7,2021-03-12,Blockage - Paper rag,Garden/Yard
EX14 1,2021-03-12,Blockage - Silt,Driveway
PL3 6,2021-03-12,Blockage - Paper rag,Garden/Yard
EX7 9,2021-03-13,Blockage - Non sewage debris,Garden/Yard
TR11 4,2021-03-13,Blockage - Paper rag,Garden/Yard
TA20 4,2021-03-13,Partial Collapse,Driveway
PL32 9,2021-03-13,Hydraulic Overload,Garden/Yard
EX39 5,2021-03-13,Blockage - Paper rag,Garden/Yard
EX36 3,2021-03-13,Partial Collapse,Driveway
TQ2 7,2021-03-13,Blockage - Non sewage debris,Garden/Yard
TR11 2,2021-03-13,Blockage - Paper rag,Garden/Yard
TQ9 5,2021-03-15,Blockage - Paper rag,Garden/Yard
EX10 0,2021-03-15,Blockage - Roots,Garden/Yard
TR11 4,2021-03-15,Blockage - Paper rag,Garden/Yard
PL6 5,2021-03-16,Blockage - Paper rag,Garden/Yard
TQ6 9,2021-03-16,Partial Collapse,Garden/Yard
PL15 9,2021-03-17,Blockage - Roots,Driveway
EX8 5,2021-03-17,Blockage - Non sewage debris,Garden/Yard
PL1 2,2021-03-18,Blockage - Paper rag,Private Carpark
EX32 7,2021-03-18,Partial Collapse,Garden/Yard
PL15 8,2021-03-18,Blockage - Paper rag,Garden/Yard
EX39 1,2021-03-18,Blockage - Paper rag,Garden/Yard
TQ9 6,2021-03-19,Blockage - Paper rag,Garden/Yard
TR11 3,2021-03-19,Blockage - Paper rag,Garden/Yard
TQ10 9,2021-03-20,Blockage - Silt,Garden/Yard
PL23 1,2021-03-20,Blockage - Paper rag,Garden/Yard
EX4 8,2021-03-21,Blockage - Paper rag,Driveway
PL3 6,2021-03-23,Blockage - Paper rag,Garden/Yard
TQ1 1,2021-03-23,Blockage - Non sewage debris,Garden/Yard
EX17 2,2021-03-23,Blockage - Paper rag,Garden/Yard
EX14 4,2021-03-23,Blockage - Paper rag,Driveway
EX8 4,2021-03-24,Blockage - Non sewage debris,Driveway
PL7 4,2021-03-24,Blockage - Paper rag,Garden/Yard
EX39 3,2021-03-24,Blockage - Paper rag,Garden/Yard
EX39 3,2021-03-24,Partial Collapse,Garden/Yard
PL6 5,2021-03-25,Partial Collapse,Garden/Yard
EX6 7,2021-03-25,Blockage - Non sewage debris,Driveway
TR1 1,2021-03-25,Blockage - Paper rag,Garden/Yard
EX23 8,2021-03-25,Blockage - Paper rag,Garden/Yard
TQ7 1,2021-03-25,Blockage - Fat,Private Carpark
TR1 1,2021-03-25,Blockage - Paper rag,Garden/Yard
PL33 9,2021-03-26,Blockage - Fat,Garden/Yard
TQ12 6,2021-03-26,Blockage - Paper rag,Garden/Yard
EX14 4,2021-03-27,Blockage - Fat,Garden/Yard
PL21 0,2021-03-27,Blockage - Paper rag,Garden/Yard
TQ2 6,2021-03-27,Blockage - Fat,Driveway
TQ5 8,2021-03-28,Blockage - Paper rag,Garden/Yard
EX10 0,2021-03-28,Blockage - Paper rag,Driveway
EX8 4,2021-03-28,Blockage - Paper rag,Garden/Yard
EX9 6,2021-03-29,Blockage - Non sewage debris,Garden/Yard
PL3 6,2021-03-29,Partial Collapse,Driveway
EX8 4,2021-03-29,Blockage - Paper rag,Garden/Yard
PL20 6,2021-03-30,Blockage - Paper rag,Garden/Yard
PL14 4,2021-03-30,Partial Collapse,Garden/Yard
PL27 7,2021-03-30,Blockage - Paper rag,Garden/Yard
TR18 5,2021-03-31,Blockage - Paper rag,Garden/Yard
PL31 2,2021-03-31,Blockage - Paper rag,Garden/Yard
TQ5 8,2021-03-31,Blockage - Non sewage debris,Garden/Yard
EX8 5,2021-03-31,Blockage - Non sewage debris,Driveway
TQ12 1,2021-03-31,Blockage - Roots,Garden/Yard
PL12 4,2021-03-31,Partial Collapse,Garden/Yard
TQ2 7,2021-03-31,Blockage - Paper rag,Garden/Yard
TR210,2021-03-15,Blockage - Paper rag,Garden/Yard
EX2 9,2021-04-01,Blockage - Paper rag,Garden/Yard
TQ8 8,2021-04-01,Blockage - Roots,Driveway
EX10 8,2021-04-01,Blockage - Non sewage debris,Garden/Yard
PL13 2,2021-04-01,Blockage - Paper rag,Garden/Yard
PL24 2,2021-04-02,Blockage - Paper rag,Garden/Yard
EX14 1,2021-04-02,Blockage - Paper rag,Garden/Yard
PL11 3,2021-04-02,Blockage - Paper rag,Garden/Yard
EX7 9,2021-04-02,Blockage - Roots,Garden/Yard
PL26 7,2021-04-02,Blockage - Paper rag,Garden/Yard
PL26 7,2021-04-03,Blockage - Paper rag,Garden/Yard
PL26 7,2021-04-03,Blockage - Paper rag,Driveway
EX7 9,2021-04-03,Blockage - Paper rag,Garden/Yard
TQ4 7,2021-04-03,Blockage - Paper rag,Garden/Yard
TR15 2,2021-04-03,Blockage - Paper rag,Garden/Yard
TR14 7,2021-04-03,Blockage - Non sewage debris,Garden/Yard
PL7 2,2021-04-04,Blockage - Paper rag,Private Carpark
EX4 1,2021-04-04,Blockage - Non sewage debris,Garden/Yard
EX4 1,2021-04-04,Blockage - Non sewage debris,Garden/Yard
EX6 6,2021-04-05,Blockage - Roots,Garden/Yard
TQ7 2,2021-04-05,Blockage - Paper rag,Garden/Yard
EX4 2,2021-04-05,Blockage - Fat,Garden/Yard
EX32 8,2021-04-05,Blockage - Paper rag,Garden/Yard
TR7 1,2021-04-05,Collapse/Burst,Garden/Yard
TQ1 1,2021-04-05,Blockage - Paper rag,Garden/Yard
PL2 2,2021-04-06,Blockage - Non sewage debris,Garden/Yard
PL31 1,2021-04-07,Blockage - Paper rag,Garden/Yard
PL6 5,2021-04-07,Blockage - Paper rag,Garden/Yard
EX4 8,2021-04-07,Blockage - Paper rag,Garden/Yard
TQ4 5,2021-04-08,Blockage - Paper rag,Garden/Yard
PL21 0,2021-04-08,Blockage - Paper rag,Garden/Yard
PL11 2,2021-04-08,Blockage - Paper rag,Garden/Yard
PL26 6,2021-04-08,Blockage - Paper rag,Garden/Yard
TQ12 1,2021-04-09,Blockage - Paper rag,Driveway
TQ5 0,2021-04-09,Blockage - Paper rag,Garden/Yard
TQ12 1,2021-04-09,Blockage - Roots,Garden/Yard
EX11 1,2021-04-10,Blockage - Non sewage debris,Garden/Yard
TQ14 8,2021-04-10,Blockage - Non sewage debris,Garden/Yard
TQ7 2,2021-04-11,Blockage - Paper rag,Driveway
TQ13 0,2021-04-11,Collapse/Burst,Garden/Yard
TR15 3,2021-04-11,Blockage - Paper rag,Garden/Yard
PL20 6,2021-04-12,Blockage - Paper rag,Garden/Yard
EX4 2,2021-04-13,Partial Collapse,Garden/Yard
TR7 1,2021-04-13,Blockage - Paper rag,Private Carpark
PL14 3,2021-04-13,Blockage - Paper rag,Garden/Yard
PL20 6,2021-04-14,Blockage - Paper rag,Garden/Yard
TR16 4,2021-04-14,Blockage - Non sewage debris,Garden/Yard
PL23 1,2021-04-14,Blockage - Paper rag,Garden/Yard
EX6 8,2021-04-14,Blockage - Paper rag,Garden/Yard
TR17 0,2021-04-14,Blockage - Paper rag,Garden/Yard
EX23 0,2021-04-15,Partial Collapse,Garden/Yard
TR19 7,2021-04-15,Blockage - Paper rag,Garden/Yard
TQ5 9,2021-04-16,Partial Collapse,Garden/Yard
EX7 9,2021-04-16,Blockage - Fat,Private Carpark
TR8 4,2021-04-16,Blockage - Paper rag,Garden/Yard
PL25 5,2021-04-16,Blockage - Paper rag,Driveway
TQ1 2,2021-04-16,Blockage - Paper rag,Driveway
EX38 8,2021-04-17,Blockage - Paper rag,Garden/Yard
EX33 1,2021-04-17,Partial Collapse,Driveway
PL18 9,2021-04-17,Blockage - Non sewage debris,Garden/Yard
PL3 6,2021-04-18,Blockage - Fat,Garden/Yard
EX32 0,2021-04-18,Blockage - Paper rag,Garden/Yard
PL6 6,2021-04-18,Blockage - Paper rag,Garden/Yard
PL15 7,2021-04-19,Blockage - Paper rag,Driveway
EX36 3,2021-04-19,Blockage - Non sewage debris,Garden/Yard
TQ2 8,2021-04-19,Blockage - Paper rag,Garden/Yard
TR19 7,2021-04-19,Blockage - Paper rag,Garden/Yard
TR19 7,2021-04-19,Blockage - Paper rag,Garden/Yard
EX32 7,2021-04-21,Partial Collapse,Garden/Yard
EX16 4,2021-04-21,Partial Collapse,Driveway
TR18 5,2021-04-22,Blockage - Paper rag,Garden/Yard
PL4 7,2021-04-22,Blockage - Fat,Garden/Yard
PL25 5,2021-04-23,Blockage - Paper rag,Garden/Yard
PL7 4,2021-04-24,Blockage - Paper rag,Driveway
TR8 4,2021-04-25,Blockage - Paper rag,Driveway
TQ12 5,2021-04-25,Blockage - Paper rag,Garden/Yard
PL25 3,2021-04-25,Blockage - Paper rag,Driveway
EX39 1,2021-04-25,Blockage - Paper rag,Garden/Yard
TR18 5,2021-04-26,Blockage - Non sewage debris,Garden/Yard
TR3 6,2021-04-27,Blockage - Paper rag,Garden/Yard
PL20 6,2021-04-27,Blockage - Non sewage debris,Garden/Yard
EX39 1,2021-04-27,Blockage - Roots,Garden/Yard
EX7 9,2021-04-28,Blockage - Paper rag,Garden/Yard
PL25 3,2021-04-28,Blockage - Paper rag,Garden/Yard
TQ4 7,2021-04-29,Blockage - Paper rag,Driveway
PL29 3,2021-04-29,Blockage - Roots,Garden/Yard
EX39 5,2021-04-29,Partial Collapse,Garden/Yard
PL22 0,2021-04-29,Blockage - Paper rag,Garden/Yard
TQ2 7,2021-04-29,Blockage - Paper rag,Garden/Yard
TQ2 7,2021-04-29,Blockage - Paper rag,Garden/Yard
